" "
"  "
"資料日期：    分類項目：  大盤統計資訊全部基金ETF認購權證認售權證水泥工業食品工業塑膠工業紡織纖維電機機械電器電纜化學生技醫療玻璃陶瓷造紙工業鋼鐵工業橡膠工業汽車工業電子工業建材營造運輸業觀光事業金融保險貿易百貨存託憑證綜合企業其他可轉換公司債      "
" 民國93年2月11日起之資料請回原網站查詢  "

""


""
"2002","中鋼"," 80,122"," 10,099"," 1,929,527,400"," 23.60"," 24.80"," 23.30"," 24.80","＋"," 1.60"," 24.80"," 0.00"," 16.10"
"2002A","中鋼特"," 112"," 45"," 2,654,600"," 23.00"," 24.50"," 23.00"," 24.50","＋"," 1.50"," 24.40"," 24.50"," 0.00"
"2005","友力"," 216"," 26"," 635,100"," 2.76"," 2.95"," 2.76"," 2.76",""," 0.00"," 2.76"," 0.00"," 0.00"
"2006","東鋼"," 11,666"," 1,787"," 177,852,400"," 15.50"," 15.50"," 14.90"," 15.40","＋"," 0.60"," 15.30"," 15.40"," 0.00"
"2007","燁興"," 1,908"," 319"," 15,778,850"," 8.55"," 8.55"," 8.15"," 8.20","＋"," 0.15"," 8.20"," 8.25"," 8.04"
"2008","高興昌"," 3,534"," 208"," 28,680,500"," 8.20"," 8.20"," 7.90"," 8.10","＋"," 0.10"," 8.05"," 8.10"," 0.00"
"2009","第一"," 1,768"," 328"," 20,597,200"," 11.65"," 11.65"," 11.65"," 11.65","＋"," 0.75"," 11.65"," 0.00"," 10.59"
"2010","春源"," 2,697"," 505"," 36,557,600"," 13.70"," 13.70"," 13.40"," 13.65","＋"," 0.25"," 13.65"," 13.70"," 22.02"
"2011","彥武"," 1,633"," 273"," 11,073,850"," 6.80"," 6.90"," 6.70"," 6.90","＋"," 0.20"," 0.00"," 6.90"," 26.54"
"2012","春雨"," 475"," 75"," 3,628,350"," 7.65"," 7.80"," 7.55"," 7.60","－"," 0.10"," 7.60"," 0.00"," 0.00"
"2013","中鋼構"," 6,125"," 1,718"," 188,904,000"," 31.00"," 31.50"," 30.00"," 31.40","＋"," 1.20"," 31.40"," 0.00"," 28.29"
"2013A","中構特"," 79"," 32"," 1,869,700"," 23.20"," 24.30"," 23.20"," 23.70","＋"," 0.50"," 23.80"," 0.00"," 0.00"
"2014","燁隆"," 7,125"," 879"," 61,482,250"," 8.50"," 8.80"," 8.45"," 8.80","＋"," 0.35"," 8.80"," 0.00"," 0.00"
"2015","豐興"," 2,758"," 448"," 35,999,500"," 13.10"," 13.30"," 12.90"," 13.15","＋"," 0.10"," 0.00"," 13.15"," 69.21"
"2016","名佳利"," 478"," 110"," 2,000,610"," 4.40"," 4.40"," 4.00"," 4.29","＋"," 0.02"," 4.27"," 4.29"," 0.00"
"2017","嘉益"," 4,762"," 543"," 31,170,450"," 6.95"," 6.95"," 6.45"," 6.70","－"," 0.20"," 0.00"," 6.60"," 0.00"
"2017T","嘉益丙"," 0"," 0"," 0"," 0.00"," 0.00"," 0.00"," 0.00",""," 0.00"," 0.00"," 6.80"," 0.00"
"2019","桂宏"," 3,645"," 522"," 64,337,900"," 17.60"," 18.00"," 17.20"," 17.20","－"," 0.40"," 17.20"," 17.30"," 0.00"
"2020","美亞"," 129"," 27"," 807,500"," 6.25"," 6.40"," 6.20"," 6.25","＋"," 0.05"," 6.25"," 6.30"," 0.00"
"2022","聚亨"," 4,670"," 639"," 24,920,150"," 5.60"," 5.60"," 5.25"," 5.25","－"," 0.35"," 0.00"," 5.25"," 0.00"
"2023","燁輝"," 7,877"," 1,428"," 124,899,900"," 15.80"," 16.20"," 15.60"," 16.10","＋"," 0.60"," 0.00"," 16.10"," 13.09"
"2024","志聯"," 231"," 53"," 1,073,400"," 4.85"," 4.85"," 4.50"," 4.70","＋"," 0.03"," 4.68"," 4.70"," 0.00"
"2025","千興"," 1,716"," 389"," 22,386,550"," 13.45"," 13.45"," 12.80"," 13.10","＋"," 0.10"," 13.15"," 0.00"," 22.59"
"2027","大成鋼"," 751"," 169"," 10,444,250"," 14.00"," 14.10"," 13.80"," 14.00","＋"," 0.10"," 13.90"," 14.00"," 29.79"
"2028","威致"," 804"," 162"," 4,682,250"," 5.95"," 6.00"," 5.65"," 5.95","＋"," 0.05"," 0.00"," 5.95"," 0.00"
"2029","盛餘"," 3,796"," 926"," 97,275,300"," 25.50"," 26.20"," 25.10"," 26.20","＋"," 1.00"," 26.20"," 0.00"," 14.01"
"2030","彰源"," 168"," 44"," 2,996,600"," 18.00"," 18.00"," 17.50"," 17.70","－"," 0.10"," 17.70"," 17.80"," 15.13"

